date,window,fixed_10pct,raw_gate,debounce_2of3,debounce_3of3,fixed_10pct_00713_weight,raw_gate_00713_weight
2025-09-23,ncf_panel_2025_2026,1224803.2534057172,1220592.7491181146,1222755.9414675012,1223025.4970275678,0.1,0.1
2025-09-24,ncf_panel_2025_2026,1225031.1901429626,1220819.9022775837,1222983.497198571,1223253.1029231148,0.1,0.1
2025-09-25,ncf_panel_2025_2026,1220510.1925319722,1216314.4464932275,1218470.056631829,1218738.6673720437,0.1,0.1
2025-09-26,ncf_panel_2025_2026,1199973.7566481552,1195848.6086839181,1197967.9482942824,1198232.0393612674,0.1,0.1
2025-09-30,ncf_panel_2025_2026,1212951.423009793,1208781.6617415766,1210923.9219218434,1211190.869122754,0.1,0.1
2025-10-01,ncf_panel_2025_2026,1217347.71606374,1213162.8416655562,1215312.8663806359,1215580.7811208088,0.1,0.1
2025-10-02,ncf_panel_2025_2026,1236826.5610378918,1232574.7242438674,1234759.1516177463,1235031.3532757994,0.1,0.1
2025-10-03,ncf_panel_2025_2026,1252243.1582775372,1247938.3238705518,1250149.9793442169,1250425.5738978158,0.1,0.1
2025-10-07,ncf_panel_2025_2026,1283251.2454410663,1278839.8145798426,1281106.2351406633,1281388.6539758593,0.1,0.1
2025-10-08,ncf_panel_2025_2026,1272925.4867268277,1268549.5527106836,1270797.7363814649,1271077.8827164322,0.1,0.1
2025-10-09,ncf_panel_2025_2026,1282109.2721262989,1277701.7670250083,1279966.1706839872,1280248.3381928941,0.1,0.1
2025-10-13,ncf_panel_2025_2026,1266902.8704946805,1262547.6404172282,1264785.1872144379,1265064.008087796,0.1,0.1
2025-10-14,ncf_panel_2025_2026,1261149.0481996117,1256813.5980283413,1259040.9826837264,1259318.5372518331,0.1,0.1
2025-10-15,ncf_panel_2025_2026,1282498.3354920724,1278089.492908239,1280354.583713414,1280636.8368476594,0.1,0.1
2025-10-16,ncf_panel_2025_2026,1306490.125906262,1301998.8067808903,1304306.270805868,1304593.8040701952,0.1,0.1
2025-10-17,ncf_panel_2025_2026,1287457.3837835328,1283031.493486905,1285305.3427398505,1285588.6872649263,0.1,0.1
2025-10-20,ncf_panel_2025_2026,1307649.352049752,1303154.0478544238,1305463.5592524125,1305751.3476400434,0.1,0.1
2025-10-21,ncf_panel_2025_2026,1310124.508500454,1305620.6954635473,1307934.5783713951,1308222.9114931957,0.1,0.1
2025-10-22,ncf_panel_2025_2026,1303405.683388435,1298924.9676464312,1301226.9840679362,1301513.838505988,0.1,0.1
2025-10-23,ncf_panel_2025_2026,1295538.338731104,1291084.6685479027,1293372.7900195655,1293657.9130068808,0.1,0.1
